Query,Db_Name,Id_List,Citation_Cnts
GABA AND GABRA2[tiab],pubmed,22662011,1
GABA AND GABRA2[tiab],pubmed,23134043,20
GABA AND GABRA2[tiab],pubmed,21683760,18
GABA AND GABRA2[tiab],pubmed,19212922,5
GABA AND GABRA2[tiab],pubmed,18727688,34
GABA AND GABRA2[tiab],pubmed,24687270,7
GABA AND GABRA2[tiab],pubmed,17690794,27
GABA AND GABRA2[tiab],pubmed,30664766,24
GABA AND GABRA2[tiab],pubmed,18519829,30
GABA AND GABRA2[tiab],pubmed,17976953,13
GABA AND GABRA2[tiab],pubmed,29135068,1
GABA AND GABRA2[tiab],pubmed,16395124,93
GABA AND GABRA2[tiab],pubmed,15024690,299
GABA AND GABRA2[tiab],pubmed,12354299,3
GABA AND GABRA2[tiab],pubmed,27033668,3
GABA AND GABRA2[tiab],pubmed,30138693,8
GABA AND GABRA2[tiab],pubmed,10447508,4
GABA AND GABRA2[tiab],pubmed,20133874,41
GABA AND GABRA2[tiab],pubmed,31454673,0
GABA AND GABRA2[tiab],pubmed,25725334,0
GABA AND GABRA2[tiab],pubmed,34677900,2
GABA AND GABRA2[tiab],pubmed,22253714,56
GABA AND GABRA2[tiab],pubmed,32347641,2
GABA AND GABRA2[tiab],pubmed,25708312,11
GABA AND GABRA2[tiab],pubmed,27544825,26
GABA AND GABRA2[tiab],pubmed,22745509,26
GABA AND GABRA2[tiab],pubmed,32753576,3
GABA AND GABRA2[tiab],pubmed,26087834,12
GABA AND GABRA2[tiab],pubmed,23480690,9
GABA AND GABRA2[tiab],pubmed,28899881,4
GABA AND GABRA2[tiab],pubmed,33901490,0
GABA AND GABRA2[tiab],pubmed,29046322,24
GABA AND GABRA2[tiab],pubmed,33140451,7
GABA AND GABRA2[tiab],pubmed,34970138,0
GABA AND GABRA2[tiab],pubmed,30724801,0
GABA AND GABRA2[tiab],pubmed,23115637,10
GABA AND GABRA2[tiab],pubmed,28863347,2
GABA AND GABRA2[tiab],pubmed,20888367,16
GABA AND GABRA2[tiab],pubmed,22817768,16
GABA AND GABRA2[tiab],pubmed,24948817,17
GABA AND GABRA2[tiab],pubmed,26469128,8
GABA AND GABRA2[tiab],pubmed,27819299,32
GABA AND GABRA2[tiab],pubmed,30555510,4
GABA AND GABRA2[tiab],pubmed,27117237,3
GABA AND GABRA2[tiab],pubmed,26902358,1
GABA AND GABRA2[tiab],pubmed,34086081,2
GABA AND GABRA2[tiab],pubmed,32725455,2
GABA AND GABRA2[tiab],pubmed,33941559,0
GABA AND GABRA2[tiab],pubmed,33128845,0
GABA AND GABRA2[tiab],pubmed,34657887,0
GABA AND GABRA2[tiab],pubmed,33407346,1
GABA AND GABRA2[tiab],pubmed,21919924,23
GABA AND GABRA2[tiab],pubmed,17507911,54
GABA AND GABRA2[tiab],pubmed,31032849,4
GABA AND GABRA2[tiab],pubmed,15702134,80
GABA AND GABRA2[tiab],pubmed,31032848,2
GABA AND GABRA2[tiab],pubmed,30841457,3
GABA AND GABRA2[tiab],pubmed,33342018,1
GABA AND GABRA2[tiab],pubmed,30244312,1
GABA AND GABRA2[tiab],pubmed,23294086,27
GABA AND GABRA2[tiab],pubmed,30061709,4
GABA AND GABRA2[tiab],pubmed,29422393,8
GABA AND GABRA2[tiab],pubmed,29460350,5
GABA AND GABRA2[tiab],pubmed,29528673,3
GABA AND GABRA2[tiab],pubmed,28185103,12
GABA AND GABRA2[tiab],pubmed,29131352,1
GABA AND GABRA2[tiab],pubmed,20225194,3
GABA AND GABRA2[tiab],pubmed,22882390,6
GABA AND GABRA2[tiab],pubmed,29069083,5
GABA AND GABRA2[tiab],pubmed,20102561,11
GABA AND GABRA2[tiab],pubmed,20202923,277
GABA AND GABRA2[tiab],pubmed,28237505,3
GABA AND GABRA2[tiab],pubmed,21483437,75
GABA AND GABRA2[tiab],pubmed,20482509,38
GABA AND GABRA2[tiab],pubmed,27717041,5
GABA AND GABRA2[tiab],pubmed,27768696,32
GABA AND GABRA2[tiab],pubmed,18818659,54
GABA AND GABRA2[tiab],pubmed,26845260,15
GABA AND GABRA2[tiab],pubmed,16214289,1
GABA AND GABRA2[tiab],pubmed,26116794,2
GABA AND GABRA2[tiab],pubmed,26250693,21
